Tiempo[s]   Memoria[bytes]   Tamaño   
0.0006628999981330708   2160000   300   
0.001768499998433981   3840000   400   
0.0032379999975091778   6000000   500   
0.00585270000010496   8640000   600   
0.005865699997229967   11760000   700   
0.013714800006709993   15360000   800   
0.020801200000278186   21660000   950   
0.03990409999823896   34560000   1200   
0.07348610000190092   54000000   1500   
0.13897459999861894   77760000   1800   
0.18344770000112476   96000000   2000   
0.27578920000087237   121500000   2250   
0.32845620000443887   150000000   2500   
0.5639836999980616   216000000   3000   
0.8725841999985278   294000000   3500   
1.3220001000008779   384000000   4000   
2.531792800000403   600000000   5000   
5.9217852000001585   1014000000   6500   
9.126460799998313   1350000000   7500   
23.22957480000332   2400000000   10000   
